corpus	method	level	cluster	algorithmic_label	role	work_id	title	verdict	tier	supported_count	supported_criteria
included	tfidf	macro	M01	icl / scales / induction heads	medoid	w_47f0ccb3e2ec3eac	Beyond Induction Heads: In-Context Meta Learning Induces Multi-Phase Circuit Emergence	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	macro	M01	icl / scales / induction heads	boundary	w_6d9aedbcf0365751	How Does Unfaithful Reasoning Emerge from Autoregressive Training? A Study of Synthetic Experiments	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	macro	M01	icl / scales / induction heads	strongest	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers	INCLUDE	TIER_1	3	SCALING,CRITICALITY,NOVEL_BASIS
included	tfidf	macro	M02	phase transitions / order parameter / escape	medoid	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	macro	M02	phase transitions / order parameter / escape	boundary	w_01e15d37549ba1fc	Latent Algorithmic Structure Precedes Grokking: A Mechanistic Study of ReLU MLPs on Modular Arithmetic	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	macro	M02	phase transitions / order parameter / escape	strongest	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	TIER_2	3	SCALING,CRITICALITY,NOVEL_BASIS
included	tfidf	macro	M03	weight-decay / weight / fourier	medoid	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	INCLUDE	TIER_2	3	SCALING,COMPRESSION,CRITICALITY
included	tfidf	macro	M03	weight-decay / weight / fourier	boundary	w_c05624cc0be4c2cb	A jamming transition from under- to over-parametrization affects generalization in deep learning	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	macro	M03	weight-decay / weight / fourier	strongest	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	INCLUDE	TIER_1	4	SCALING,CRITICALITY,COMPRESSION,NOVEL_BASIS
included	tfidf	macro	M04	abstract / systems / attention computation	medoid	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
