corpus	work_id	title	verdict	text_policy	characters	semantic_tokens_before_truncation	semantic_chunked	semantic_truncated	analysis_text
included	w_c05624cc0be4c2cb	A jamming transition from under- to over-parametrization affects generalization in deep learning	INCLUDE	supported-claims-results	717	150	0	0	Title: A jamming transition from under- to over-parametrization affects generalization in deep learning. Claim: The number of unsatisfied constraints jumps discontinuously at the jamming line. Supporting result: The internal discontinuity and behavioral cusp are reproduced across sample sizes, depths, losses, activations, and random versus structured data; early stopping removes the cusp as predicted. Claim: Width and sample count control a qualitative loss-landscape regime change tied to generalization. Supporting result: Systematic parameter/sample sweeps connect the satisfiable/unsatisfiable constraint organization and Hessian geometry to training fit and a cusp in test error across random data and MNIST.
included	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	INCLUDE	supported-claims-results	759	147	0	0	Title: A Mechanistic Analysis of Transformers for Dynamical Systems. Claim: A three-dimensional latent state learned from scalar histories preserves the system's predictive dynamics. Supporting result: The compact latent supports held-out forecasting and reconstruction of the higher-dimensional flow field; context and latent-dimension ablations plus five-fold cross-validation establish faithful functional retention. Claim: Context length and latent dimension control recovery of a predictive dynamical-system state. Supporting result: Context, latent-width, parameter-conditioning, and architecture controls connect the change from folded to separated latent geometry to forecasting and flow-field reconstruction over ten seeds and cross-validation folds.
included	w_3f7299052e18118d	A Neural Network Model of Free Recall Learns Multiple Memory Strategies	INCLUDE	supported-claims-results	1002	185	0	0	Title: A Neural Network Model of Free Recall Learns Multiple Memory Strategies. Claim: The best free-recall models compress list content into a stimulus-invariant serial-index scaffold that supports efficient and robust retrieval. Supporting result: Index explains substantially more hidden-state variance for the memory-palace strategy, cross-decodes across items and study/response phases, and the same recurrent state is the cosine-similarity cue used to retrieve stored memories; the strategy has the best accuracy and noise robustness. Claim: The network learns an item-independent serial-position coordinate system analogous to a memory palace, without a prescribed recall order. Supporting result: Across trained populations, a stable positional trajectory distinct from temporal-context strategies emerges despite reward being indifferent to recall order; it is reinstated during retrieval, linked to forward recall, and its incidence shifts predictably with discount and memory-flush controls.
included	w_07d5eb02f4e65497	A phase transition between positional and semantic learning in a solvable model of dot-product attention	INCLUDE	supported-claims-results	838	150	0	0	Title: A phase transition between positional and semantic learning in a solvable model of dot-product attention. Claim: A phase boundary separates positional and semantic attention regimes. Supporting result: At the predicted critical sample load, the positional order parameter gives way to semantic alignment while generalization crosses the positional-baseline boundary; analytic loss-landscape results and repeated finite-size simulations locate the same transition. Claim: Increasing sample complexity shifts attention from positional to semantic solutions. Supporting result: Sweeps over sample load alpha connect a switch in the semantic and positional order parameters to the validation-MSE advantage of the semantic solution; 24 problem instances, 30-run finite-size tests, and matrix/architecture controls reproduce the regimes.
included	w_ee7cdd8c7d281656	A simple model of co-emergence of grid and place fields	INCLUDE	supported-claims-results	770	147	0	0	Title: A simple model of co-emergence of grid and place fields. Claim: A single predictive RNN develops complementary grid- and place-like spatial codes without spatial supervision. Supporting result: Neither cell type nor allocentric coordinates are supplied; formal field metrics characterize the learned codes, while architecture removals and new-environment experiments show the recurrent state uses the organization for next-sensory prediction. Claim: Noise, masking, memory decay, environment, and training time reorganize the balance of spatial codes. Supporting result: One thousand parameter configurations, ten-seed replication, architectural controls, and developmental trajectories connect place/grid population regimes to the sensory-prediction computation.
included	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	INCLUDE	supported-claims-results	720	129	0	0	Title: Assign and Add: A Mechanistic Study of Compositional Arithmetic. Claim: The transformer learns to compose a Fourier addition circuit with a variable-binding circuit. Supporting result: The combined mechanism is not prescribed, is formally decomposed into Fourier and modified-induction operations, and isolated-subcircuit, mismatch, and intervention tests establish functional composition on unseen combinations. Claim: Assignment and modular-addition mechanisms form in distinct training phases. Supporting result: Checkpoint analysis and alternative-initialization controls show a modular-addition circuit forming before a sharp variable-binding attention reorganization and the compositional accuracy increase.
included	w_7642d8c74152ab9f	Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models	INCLUDE	supported-claims-results	663	134	0	0	Title: Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models. Claim: A parameter threshold near 1B and a training-step threshold govern decoupling. Supporting result: The claimed thresholds pair a mechanistic binding transition with behavior, causal top/random/bottom-head controls, five CRFM seeds, and cross-architecture checks. Claim: The structure-behavior relationship transforms qualitatively across scales. Supporting result: Seven models across five architectures and checkpoints show scale- and training-dependent binding regimes; targeted head ablation reverses sign between 160M and 2.8B.
included	w_3d415e237f7c4f65	Autocorrelations from emergent bistability in homeostatic spiking neural networks on neuromorphic hardware	INCLUDE	supported-claims-results	863	171	0	0	Title: Autocorrelations from emergent bistability in homeostatic spiking neural networks on neuromorphic hardware. Claim: An input-controlled nonequilibrium transition produces bistability and long autocorrelation times. Supporting result: The internal population distribution changes near the identified input boundary together with the autocorrelation regime; hardware, finite-size simulation, analytic mean field, and repeated experimental runs distinguish the bifurcation from scale-free avalanche criticality. Claim: External input and system size control an emergent bistable population regime after homeostatic learning. Supporting result: Input and size sweeps connect the learned recurrent-weight organization and unimodal-to-bimodal population dynamics to autocorrelation behavior in neuromorphic hardware, software replication, and mean-field controls.
included	w_3144bdd83cd17ac0	Automated construction of cognitive maps with visual predictive coding	INCLUDE	supported-claims-results	786	142	0	0	Title: Automated construction of cognitive maps with visual predictive coding. Claim: Predictive coding compresses visual sequences into a compact spatial representation. Supporting result: The predictive latent retains substantially more positional information than a matched autoencoder in visually degenerate corridors, and its learned overlap code is directly consumed to predict future images and decode displacement. Claim: A coordinate-free cognitive map emerges from visual predictive coding. Supporting result: Without position labels or prescribed map coordinates, the model learns formally characterized place-like regions and a metric/topological overlap code; prediction and displacement readouts use that code, with autoencoder and symmetry controls delimiting the result.
included	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	INCLUDE	supported-claims-results	990	188	0	0	Title: Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking. Claim: Prediction training produces a tilted Mexican-hat recurrent organization from random connectivity. Supporting result: Without prescribing the learned recurrent weights, optimization produces a formally decomposed mixed-symmetry attractor-like organization; replay from noise and prefix-conditioned prediction use its stabilizing symmetric and flow-inducing antisymmetric components, with component-family and local-plasticity controls reproducing the functional regimes. Claim: Replay and prediction depend qualitatively on the balance between symmetric and antisymmetric recurrence. Supporting result: Training trajectories and initialization sweeps connect convergence toward an intermediate symmetry regime to coherent replay, prediction, and optimization; identity, cyclic-shift, random, and Mexican-hat families delimit stabilization and directional-flow alternatives.
included	w_47f0ccb3e2ec3eac	Beyond Induction Heads: In-Context Meta Learning Induces Multi-Phase Circuit Emergence	INCLUDE	supported-claims-results	602	113	0	0	Title: Beyond Induction Heads: In-Context Meta Learning Induces Multi-Phase Circuit Emergence. Claim: Circuit metrics change abruptly with the sudden jumps in accuracy. Supporting result: Circuit metrics shift cleanly at behavioral phase boundaries across plotted seeds, including a smooth-loss setting with hidden abrupt circuit specialization. Claim: A unique circuit emerges in each phase during training. Supporting result: Checkpoint curves show NCC, SCC, and FCC circuits replacing one another as ICL accuracy moves through its three plateaus; masked-circuit predictions reproduce phase behavior.
included	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	INCLUDE	supported-claims-results	977	177	0	0	Title: Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks. Claim: The winning subnetwork changes rapidly at the generalization transition. Supporting result: Graph-structure and overlap quantities transition with accuracy across replicated settings; edge-popup selection converts memorizing weights toward the generalizing behavior without ordinary weight training. Claim: Training discovers a formally structured Fourier-like lottery-ticket circuit. Supporting result: The sparse circuit is not architecturally specified, is characterized by graph and frequency structure, transfers across matched runs, and causally supports generalization through masking and edge-popup interventions. Claim: A sparse generalizing subnetwork forms late in grokking training. Supporting result: Checkpoint, task, architecture, and initialization comparisons connect a structural subnetwork transition to delayed generalization across multiple seeds.
