index	short_title	full_title	primary_doi	doi_kind	primary_doi_url	versioned_source_url	secondary_doi	secondary_doi_url	note
1	Emergent Structured Representations	Emergent Structured Representations Support Flexible In-Context Inference in Large Language Models	10.48550/arXiv.2602.07794	arXiv DOI	https://doi.org/10.48550/arXiv.2602.07794	https://arxiv.org/abs/2602.07794v3			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
2	Mechanistic Data Attribution	Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units	10.48550/arXiv.2601.21996	arXiv DOI	https://doi.org/10.48550/arXiv.2601.21996	https://arxiv.org/abs/2601.21996v2			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
3	MetaOthello	MetaOthello: A Controlled Study of Multiple World Models in Transformers	10.48550/arXiv.2602.23164	arXiv DOI	https://doi.org/10.48550/arXiv.2602.23164	https://arxiv.org/abs/2602.23164			Manifest had an OpenAlex URL; Level 1 audit identified the arXiv source. Primary check DOI is the arXiv DOI.
4	Relational KD with Fine-tuned FVs	Relational Knowledge Distillation Using Fine-tuned Function Vectors	10.48550/arXiv.2601.08169	arXiv DOI	https://doi.org/10.48550/arXiv.2601.08169	https://arxiv.org/abs/2601.08169v1			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
5	Deductive Circuits	Revealing Algorithmic Deductive Circuits for Logical Reasoning	10.48550/arXiv.2605.27824	arXiv DOI	https://doi.org/10.48550/arXiv.2605.27824	https://arxiv.org/abs/2605.27824v1			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
6	Attention Circuits Form	When Do Attention Circuits Form? Developmental Trajectories of Capability and Attention-Sink Emergence Across Three 1B-Class Architectures	10.48550/arXiv.2606.02378	arXiv DOI	https://doi.org/10.48550/arXiv.2606.02378	https://arxiv.org/abs/2606.02378v2			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
7	Analogical Reasoning / Concept Vectors	Analogical Reasoning Inside Large Language Models: Concept Vectors and the Limits of Abstraction	10.48550/arXiv.2503.03666	arXiv DOI	https://doi.org/10.48550/arXiv.2503.03666	https://arxiv.org/abs/2503.03666v1			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
8	Linear Spatial World Models	Linear Spatial World Models Emerge in Large Language Models	10.48550/arXiv.2506.02996	arXiv DOI	https://doi.org/10.48550/arXiv.2506.02996	https://arxiv.org/abs/2506.02996v1			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
9	Multimodal Function Vectors	Multimodal Function Vectors for Visual Relations	10.48550/arXiv.2510.02528	arXiv DOI	https://doi.org/10.48550/arXiv.2510.02528	https://arxiv.org/abs/2510.02528v2			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
10	Hidden-State Geometry for ICL	Unifying Attention Heads and Task Vectors via Hidden State Geometry in In-Context Learning	10.48550/arXiv.2505.18752	arXiv DOI	https://doi.org/10.48550/arXiv.2505.18752	https://arxiv.org/abs/2505.18752v2			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
11	Two-Layer Transformers / Induction Heads	What One Cannot, Two Can: Two-Layer Transformers Provably Represent Induction Heads on Any-Order Markov Chains	10.48550/arXiv.2508.07208	arXiv DOI	https://doi.org/10.48550/arXiv.2508.07208	https://arxiv.org/abs/2508.07208v2			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
12	Which Attention Heads Matter?	Which Attention Heads Matter for In-Context Learning?	10.48550/arXiv.2502.14010	arXiv DOI	https://doi.org/10.48550/arXiv.2502.14010	https://arxiv.org/abs/2502.14010v1			PMLR page is retained as proceedings source; no PMLR DOI metadata was visible, so the check DOI is arXiv.
13	Chess World Models	Emergent World Models and Latent Variable Estimation in Chess-Playing Language Models	10.48550/arXiv.2403.15498	arXiv DOI	https://doi.org/10.48550/arXiv.2403.15498	https://arxiv.org/abs/2403.15498v2			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
14	What Needs To Go Right For An Induction Head?	What needs to go right for an induction head? A mechanistic study of in-context learning circuits and their formation	10.48550/arXiv.2404.07129	arXiv DOI	https://doi.org/10.48550/arXiv.2404.07129	https://arxiv.org/abs/2404.07129v1			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
15	Emergent Linear Representations / Othello	Emergent Linear Representations in World Models of Self-Supervised Sequence Models	10.18653/v1/2023.blackboxnlp-1.2	publisher DOI	https://doi.org/10.18653/v1/2023.blackboxnlp-1.2	https://aclanthology.org/2023.blackboxnlp-1.2/	10.48550/arXiv.2309.00941	https://doi.org/10.48550/arXiv.2309.00941	ACL Anthology records the publisher DOI; arXiv DOI retained as secondary source check.
16	Function Vectors in LLMs	Function Vectors in Large Language Models	10.48550/arXiv.2310.15213	arXiv DOI	https://doi.org/10.48550/arXiv.2310.15213	https://arxiv.org/abs/2310.15213v2			OpenReview entry is retained as venue/source link; primary check DOI is arXiv.
17	Linear Latent World Models / Othello-GPT	Linear Latent World Models in Simple Transformers: A Case Study on Othello-GPT	10.48550/arXiv.2310.07582	arXiv DOI	https://doi.org/10.48550/arXiv.2310.07582	https://arxiv.org/abs/2310.07582v2			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
18	Progress Measures for Grokking	Progress measures for grokking via mechanistic interpretability	10.48550/arXiv.2301.05217	arXiv DOI	https://doi.org/10.48550/arXiv.2301.05217	https://arxiv.org/abs/2301.05217			Primary check DOI is the arXiv DOI; resolver verified to arXiv abs page.
