corpus	method	level	cluster	size	algorithmic_label	top_terms	mean_supported_count	include_count	exclude_count	tier_1	tier_2	tier_3	untiered	scaling_count	compression_count	criticality_count	novel_basis_count	generalisation_count	medoid_work_id	medoid_title	boundary_work_id	boundary_title	strongest_work_id	strongest_title
included	tfidf	macro	M01	18	icl / scales / induction heads	icl | scales | induction heads | capability | conditional | concept | diversity | subcircuits | knowledge | pythia	2.056	18	0	1	17	0	0	18	4	12	3	0	w_47f0ccb3e2ec3eac	Beyond Induction Heads: In-Context Meta Learning Induces Multi-Phase Circuit Emergence	w_6d9aedbcf0365751	How Does Unfaithful Reasoning Emerge from Autoregressive Training? A Study of Synthetic Experiments	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers
included	tfidf	macro	M02	10	phase transitions / order parameter / escape	phase transitions | order parameter | escape | order parameters | analytic | saddle | trainability | encoded | order | deep neural	2.1	10	0	0	10	0	0	10	0	9	2	0	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	w_01e15d37549ba1fc	Latent Algorithmic Structure Precedes Grokking: A Mechanistic Study of ReLU MLPs on Modular Arithmetic	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why
included	tfidf	macro	M03	23	weight-decay / weight / fourier	weight-decay | weight | fourier | grokking | weight decay | generalization | bottleneck | post-grokking | fourier components | replicated	2.348	23	0	5	18	0	0	22	15	12	5	0	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	w_c05624cc0be4c2cb	A jamming transition from under- to over-parametrization affects generalization in deep learning	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability
included	tfidf	macro	M04	12	abstract / systems / attention computation	abstract | systems | attention computation | reusable | attention structure | abstraction | symbolic | recovery | latent | establish uses	2.333	12	0	2	10	0	0	9	5	0	11	3	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations	w_d27b97e00fa37f8b	Prediction horizon shapes representations in predictive learning
included	tfidf	macro	M05	23	spatial / recurrent / sequential	spatial | recurrent | sequential | recurrent neural | visual | activity | grid | fixed-point | temporal | hippocampal	2.087	23	0	0	23	0	0	19	8	1	20	0	w_cbbadc97bc1c553c	Hippocampal representations emerge when training recurrent neural networks on a memory dependent maze navigation task	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	w_38e23f5995c71d9b	Spatial reasoning via recurrent neural dynamics in mouse retrosplenial cortex
included	tfidf	macro	M06	6	avalanche / homeostatic / hardware	avalanche | homeostatic | hardware | external | autocorrelation | size control | scale-free | stored-pattern | software | hardware software	2.0	6	0	0	6	0	0	6	0	6	0	0	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	w_6ffbda57ab6a27ae	Optimal reinforcement learning near the edge of a synchronization transition	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks
included	tfidf	subcluster	S01	10	icl / induction heads / conditional	icl | induction heads | conditional | diversity | subcircuits | induction | in-context | induction-head | induction head | vector	2.1	10	0	1	9	0	0	10	3	7	1	0	w_0308d55890a5b9c6	On the Emergence of Induction Heads for In-Context Learning	w_a6027fec6ac3ab9a	Differential learning kinetics govern the transition from memorization to generalization during in-context learning	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers
included	tfidf	subcluster	S02	8	capability / concept / knowledge	capability | concept | knowledge | acquisition | seven | head ablation | attention-head | capabilities | information flow | factual-recall	2.0	8	0	0	8	0	0	8	1	5	2	0	w_7642d8c74152ab9f	Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models	w_6d9aedbcf0365751	How Does Unfaithful Reasoning Emerge from Autoregressive Training? A Study of Synthetic Experiments	w_7642d8c74152ab9f	Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models
included	tfidf	subcluster	S03	4	order parameters / internal order / order	order parameters | internal order | order | softmax | softmax attention | order parameter | sample | phase transition | semantic | parameters	2.0	4	0	0	4	0	0	4	0	4	0	0	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	w_dff3d1da5e63f8e0	Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks
included	tfidf	subcluster	S04	6	trainability / encoded / deep neural	trainability | encoded | deep neural | grok | algorithmic | occurs | transition occurs | sgd | multilayer | regions	2.167	6	0	0	6	0	0	6	0	5	2	0	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	w_01e15d37549ba1fc	Latent Algorithmic Structure Precedes Grokking: A Mechanistic Study of ReLU MLPs on Modular Arithmetic	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why
