source	arxiv_id	year	title	authors	venue	url	tags	matched_queries
arxiv	2606.20538v1	2026	Multi-Task Bayesian In-Context Learning	Qingyang Zhu; Eric Karl Oermann; Kyunghyun Cho	arXiv	http://arxiv.org/abs/2606.20538v1	benchmark_sudden; mechanism; icl	all:"in-context learning" AND all:"emergent" || all:"in context learning" AND all:"emergence"
arxiv	2606.20225v1	2026	Actionable Activation Directions for Detecting and Mitigating Emergent Misalignment Across Language Model Families	Abdul Rafay Syed	arXiv	http://arxiv.org/abs/2606.20225v1	mechanism; safety_alignment; definition_theory	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.20177v1	2026	Evaluating and Enhancing Negation Comprehension in Remote Sensing MLLMs	Haochen Han; Jue Wang; Alex Jinpeng Wang; Fangming Liu	arXiv	http://arxiv.org/abs/2606.20177v1	benchmark_sudden	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.20173v1	2026	Qiskit Code Migration with LLMs	Jose Manuel Suarez; Luis Mariano Bibbo; Joaquin Bogado; Alenandro Fernandez	arXiv	http://arxiv.org/abs/2606.20173v1	reasoning	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.20152v1	2026	From Texts to Scores: Tracing the Emergence of Essay Quality Representations in Large Language Models	Jiaxu Zuo; Mu You; Kaixin Lan; Tao Fang; Yujia Huo; Henghua Shen; Lidia S. Chao; Derek F. Wong	arXiv	http://arxiv.org/abs/2606.20152v1	mechanism; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.19781v1	2026	Towards Engineering Scaling Laws with Pretraining Data Composition	Jan-Lucas Uslu; Kevin Greif; Daniel Whiteson; Benjamin Nachman	arXiv	http://arxiv.org/abs/2606.19781v1	phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.19660v1	2026	A Layered Security Framework Against Prompt Injection in RAG-Based Chatbots	Gulshan Saleem; Nisar Ahmed; Muhammad Imran Zaman; Ali Hassan	arXiv	http://arxiv.org/abs/2606.19660v1	mechanism; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.19644v1	2026	Prompt Quality and Pull Request Outcomes: A Stage-Based Empirical Study of LLM-Assisted Development	Richard Sserunjogi; Daniel Ogenrwot; John Businge	arXiv	http://arxiv.org/abs/2606.19644v1	definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.19640v1	2026	Creating Multilingual Mental Health Dialogue Datasets: Limits of Persona-Based Localization via Nationality and Language	Yunkai Xu; Saeed Abdullah	arXiv	http://arxiv.org/abs/2606.19640v1	phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.19544v1	2026	Reliability without Validity: A Systematic, Large-Scale Evaluation of LLM-as-a-Judge Models Across Agreement, Consistency, and Bias	Justin D. Norman; Michael U. Rivera; D. Alex Hughes	arXiv	http://arxiv.org/abs/2606.19544v1	benchmark_sudden; phase_scaling; safety_alignment	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
