index	year	title	authors	source	venue	url	paper_relevance	goal_v2_role_in_audit	goal_v2_support_level	goal_v2_route_labels	core_0_source_validity	core_1_claim_match	core_2_behavioral_or_organizational_effect	core_3_method_and_robustness	core_4_internal_mechanism_coarse_graining	core_5_reduced_predictive_description	core_6_alternative_controls	goal_v2_core_minimum_candidate	goal_v2_emergent_intelligence_candidate	triage_decision	final_verdict	gate_5_reason	gate_6_reason	summary
2	2026	A Bayesian Perspective on the Role of Epistemic Uncertainty for Delayed Generalization in In-Context Learning	Abdessamed Qchohi; Simone Rossi	arxiv	arXiv	http://arxiv.org/abs/2604.12434v1	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_E_GENERALIZATION_ANALOGY_REUSE; ROUTE_F_COUNTERCLAIM_CONTROL	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	Metadata may mention reasoning/intelligence, but it does not establish broad transfer, compact abstraction reuse, robust OOD generalization, and efficiency.	In-context learning enables transformers to adapt to new tasks from a few examples at inference time, while grokking highlights that this generalization can emerge abruptly only after prolonged training. We study task generalization and grokking in in-context learning using a Bayesian perspective, asking what enables the delayed transition from memorization to generalization. Concretely, we consider modular arithmetic tasks in which a transformer must infer a latent linear function solely from in-context examples and analyze how predictive uncertainty evolves during training. We combine approximate Bayesian techniques to estimate the posterior distribution and we study how uncertainty behaves across training and under changes in task diversity, context length, and context noise. We find that epistemic uncertainty collapses sharply when the model groks, making uncertainty a practical label-free diagnostic of generalization in transformers. Additionally, we provide theoretical support with a simplified Bayesian linear model, showing that asymptotically both delayed generalization and uncertainty peaks arise from the same underlying spectral mechanism, which links grokking time to uncertainty dynamics.
9	2026	A Survey of Large Audio Language Models: Generalization, Trustworthiness, and Outlook	Kaiwen Luo; Zhenhong Zhou; Leo Wang; Liang Lin; Yang Xiao; Tianyu Shao; Yuanhe Zhang; Yuxuan Li; Miao Yu; Kailin Lyu; Jiaming Zhang; Dongrui Liu; Li Sun; Yueming Wu; Kai Li; Ting Dang; Xiaojun Jia; Rohan Kumar Das; Xinfeng Li; Siyuan Liang; Qiufeng Wang; Xingjun Ma; Jing Chen; Kun Wang; Junhao Dong; Deqing Zou; Yu Cheng; Xia Hu; Zhigang Zeng; Sen Su; Yang Liu; Yu-Gang Jiang; Philip S. Yu; Yew-Soon Ong	arxiv	arXiv	http://arxiv.org/abs/2605.20266v1	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_D_WORLD_MODEL_CAUSAL_STATE; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	Metadata may mention reasoning/intelligence, but it does not establish broad transfer, compact abstraction reuse, robust OOD generalization, and efficiency.	"The foundational capabilities established by Large Language Models (LLMs) have paved the way for Multimodal Large Language Models (MLLMs), within which Large Audio Language Models (LALMs) are essential for realizing universal auditory intelligence. Despite their remarkable performance, the escalation of LALMs' capabilities has significantly outpaced the development of systemic frameworks to ensure their trustworthiness. This survey provides a comprehensive investigation into the endogenous mechanisms of LALMs, detailing the architectural innovations and alignment algorithms that facilitate emergent reasoning. Specifically, we analyze how the transition to unified end-to-end frameworks and the integration of continuous acoustic signals inherently expand the attack surface. To rigorously evaluate the risks within these paradigms, we establish a comprehensive taxonomy of trustworthiness, categorizing critical vulnerabilities such as cross-modal jailbreaking, latent acoustic backdoors, and biometric privacy leakage. We review the state-of-the-art through six analytical pillars: hallucination, robustness, safety, privacy, fairness, and authentication. The profound imbalance between a mature offensive landscape and underdeveloped defenses further validates the critical trustworthiness gaps and multidimensional risks facing audio-centric intelligence. Finally, we propose a strategic roadmap advocating for ""Defense-in-Depth"" architectures, causal auditory world modeling, and intrinsic representation engineering to bridge the gap between empirical performance and intrinsically trustworthy audio intelligence. Our project has been uploaded to GitHub https://github.com/Kwwwww74/Awesome-Trustworthy-AudioLLMs."
11	2026	A Survey of Reasoning-Intensive Retrieval: Progress and Challenges	Yiyang Wei; Tingyu Song; Siyue Zhang; Yilun Zhao	arxiv	arXiv	http://arxiv.org/abs/2605.00063v1	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	UNKNOWN	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	Metadata may mention reasoning/intelligence, but it does not establish broad transfer, compact abstraction reuse, robust OOD generalization, and efficiency.	Reasoning-Intensive Retrieval (RIR) targets retrieval settings where relevance is mediated by latent inferential links between a query and supporting evidence, rather than semantic similarity. Motivated by the emergent reasoning abilities of Large Language Models (LLMs), recent work integrates these capabilities into the IR field, spanning the entire pipeline from benchmarks to retrievers and rerankers. Despite this progress, the field lacks a systematic framework to organize current efforts and articulate a clear path forward. To provide a clear roadmap for this rapidly growing yet fragmented area, this survey (1) systematizes existing RIR benchmarks by knowledge domains and modalities, providing a detailed analysis of the current landscape; (2) introduces a structured taxonomy that categorizes methods based on where and how reasoning is integrated into the retrieval pipeline, alongside an analysis of their trade-offs and practical applications; and (3) summarizes challenges and future directions to guide research in this evolving field.
15	2026	Action Emergence from Streaming Intent	Pengfei Jing; Victor Shea-Jay Huang; Hengtong Lu; Jifeng Dai; Yan Xie; Benjin Zhu	arxiv	arXiv	http://arxiv.org/abs/2605.12622v2	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	UNKNOWN	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	Metadata may mention reasoning/intelligence, but it does not establish broad transfer, compact abstraction reuse, robust OOD generalization, and efficiency.	We formalize action emergence as a target capability for end-to-end autonomous driving: the ability to generate physically feasible, semantically appropriate, and safety-compliant actions in arbitrary, long-tail traffic scenes through scene-conditioned reasoning rather than retrieval or interpolation of learned scene-action mappings. We show that previous paradigms cannot deliver action emergence: autoregressive trajectory decoders collapse the inherently multimodal future into a single averaged output, while diffusion and flow-matching generators express multimodality but are not steerable by reasoned intent. We propose Streaming Intent as a concrete way to approach action emergence: a mechanism that makes driving intent (i) semantically streamed through a continuous chain-of-thought that causally derives the intent from scene understanding, and (ii) temporally streamed across clips so that intent commitments remain coherent along the driving horizon. We realize Streaming Intent in a VLA model we call SI (Streaming Intent). SI autoregressively decodes a four-step chain-of-thought and emits an intent token; the decoded intent then drives classifier-free guidance (CFG) on a flow-matching action head, requiring only two denoising steps to generate the final trajectory. On the Waymo End-to-End benchmark, SI achieves competitive aggregate performance, with an RFS score of 7.96 on the validation set and 7.74 on the test set. Beyond aggregate metrics, the model demonstrates -- to our knowledge for the first time in a fully end-to-end VLA -- intent-faithful controllability: for a fixed scene, varying the intent class at inference yields qualitatively distinct yet consistently high-quality plans, arising purely from data-driven learning without any pre-built trajectory bank or hand-coded post-hoc selector.
16	2026	Actionable Activation Directions for Detecting and Mitigating Emergent Misalignment Across Language Model Families	Abdul Rafay Syed	arxiv	arXiv	http://arxiv.org/abs/2606.20225v1	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	Metadata may mention reasoning/intelligence, but it does not establish broad transfer, compact abstraction reuse, robust OOD generalization, and efficiency.	Fine-tuning language models on insecure code induces emergent misalignment with poorly understood internal structure. We investigate whether this misalignment corresponds to a causally actionable activation-space direction shared across architectures. Across four instruction-tuned model families (Qwen2.5-1.5B, Gemma-2-2B, Llama-3.2-1B, Ministral-3-3B) finetuned identically, a difference-in-means direction achieves 99.6% separation of aligned and misaligned activations at each model's final layer. Causal steering by subtracting this direction reduces code spillover by 21-51 points, while a secure-code control confirms content specificity. Cross-architecture transfer via ridge regression maps yields large behavioral suppression (up to 46 points) but fails specificity controls as random and orthogonal directions perform comparably. We identify a two-tier specificity structure: within-model directions are causally specific and actionable; cross-model directions are causally real but non-specific. An asymmetric transfer topology emerges, with Gemma and Qwen acting as geometric donors and Llama as a receiver. These findings define the limits of linear cross-architecture correction and recommend within-model probing for auditing.
17	2026	Activation Steering Induces Emergent Misalignment: A More Comprehensive Evaluation	Qi Cao; Jian Lou; Meiting Liu; Wenjie Feng; Dan Li; See-Kiong Ng; Anh Tuan Luu	arxiv	arXiv	http://arxiv.org/abs/2606.08682v1	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PASS	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	No explicit intelligence-level claim visible from metadata.	Activation steering has emerged as a popular inference-time technique for modulating the behavior of large language models (LLMs). By constructing a steering vector from examples of a target behavior and injecting it into intermediate activations during inference, activation steering enables flexible behavioral control while avoiding the permanent parameter updates required by finetuning. Meanwhile, recent work has identified emergent misalignment (EM) as a significant safety concern, wherein models finetuned on unsafe examples from a narrow task may unexpectedly generalize to broadly unsafe behavior on unrelated tasks. Although finetuning-induced EM has been extensively studied, whether activation steering can induce EM remains comparatively under-explored, despite its increasing use as a model-control technique. In this paper, we present a comprehensive study of activation-steering-induced emergent misalignment, substantially expanding the evaluation scope beyond existing pioneering work. First, we show that activation steering can induce broad misalignment, even in the recent Qwen-3.5 series. Moreover, activation-steered models produce harmful responses with stronger semantic relevance and higher coherence than their finetuned counterparts, making the resulting misalignment potentially more harmful. Second, we characterize properties of AS-induced EM by analyzing key steering-specific factors, including steering magnitude, the low-rank structure of the steering subspace, and the number of epochs during steering-vector construction. Third, we evaluate the robustness and sensitivity of AS-induced EM across diverse model families, model scales, target tasks, and intervention layers. Our findings reveal activation steering as a significant yet under-examined source of emergent misalignment and provide an activation-space perspective for understanding the mechanisms and safety risks of EM.
35	2026	Audio-DeepThinker: Progressive Reasoning-Aware Reinforcement Learning for High-Quality Chain-of-Thought Emergence in Audio Language Models	Xiang He; Chenxing Li; Jinting Wang; Yan Rong; Tianxin Xie; Wenfu Wang; Li Liu; Dong Yu	arxiv	arXiv	http://arxiv.org/abs/2604.18187v1	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	UNKNOWN	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	Metadata may mention reasoning/intelligence, but it does not establish broad transfer, compact abstraction reuse, robust OOD generalization, and efficiency.	Large Audio-Language Models (LALMs) have made significant progress in audio understanding, yet they primarily operate as perception-and-answer systems without explicit reasoning processes. Existing methods for enhancing audio reasoning rely either on supervised chain-of-thought (CoT) fine-tuning, which is limited by training data quality, or on reinforcement learning (RL) with coarse rewards that do not directly evaluate reasoning quality. As a result, the generated reasoning chains often appear well-structured yet lack specific acoustic grounding. We propose Audio-DeepThinker, a framework built on two core ideas. First, we introduce a hybrid reasoning similarity reward that directly supervises the quality of generated reasoning chains by combining an LLM evaluator assessing logical path alignment, key step coverage, and analytical depth with an embedding similarity component enforcing semantic alignment with reference reasoning chains. Second, we propose a progressive two-stage curriculum that enables high-quality CoT reasoning to emerge through pure RL exploration, without any supervised reasoning fine-tuning, from an instruction-tuned model that possesses no prior chain-of-thought capability. Stage 1 trains on foundational audio QA with the hybrid reward to foster basic reasoning patterns, while Stage 2 shifts to acoustically challenging boundary cases with an LLM-only reward for greater reasoning diversity. Audio-DeepThinker achieves state-of-the-art results on MMAR (74.0%), MMAU-test-mini (78.5%), and MMSU (77.26%), winning 1st Place in the Interspeech 2026 Audio Reasoning Challenge (Single Model Track). Interpretability analyses further reveal that RL training primarily reshapes upper-layer MoE gating mechanisms and that reasoning tokens crystallize progressively in the upper transformer layers, offering mechanistic insights into how audio reasoning emerges through exploration.
49	2026	Beyond the Black Box: A Survey on the Theory and Mechanism of Large Language Models	Zeyu Gan; Ruifeng Ren; Wei Yao; Xiaolin Hu; Gengze Xu; Chen Qian; Huayi Tang; Zixuan Gong; Xinhao Yao; Pengwei Tang; Zhenxing Dou; Yong Liu	arxiv	arXiv	http://arxiv.org/abs/2601.02907v2	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	UNKNOWN	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	Metadata may mention reasoning/intelligence, but it does not establish broad transfer, compact abstraction reuse, robust OOD generalization, and efficiency.	The rapid emergence of Large Language Models (LLMs) has precipitated a profound paradigm shift in Artificial Intelligence, delivering monumental engineering successes that increasingly impact modern society. However, a critical paradox persists within the current field: despite the empirical efficacy, our theoretical understanding of LLMs remains disproportionately nascent, forcing these systems to be treated largely as ``black boxes''. To address this theoretical fragmentation, this survey proposes a unified lifecycle-based taxonomy that organizes the research landscape into six distinct stages: Data Preparation, Model Preparation, Training, Alignment, Inference, and Evaluation. Within this framework, we provide a systematic review of the foundational theories and internal mechanisms driving LLM performance. Specifically, we analyze core theoretical issues such as the mathematical justification for data mixtures, the representational limits of various architectures, and the optimization dynamics of alignment algorithms. Moving beyond current best practices, we identify critical frontier challenges, including the theoretical limits of synthetic data self-improvement, the mathematical bounds of safety guarantees, and the mechanistic origins of emergent intelligence. By connecting empirical observations with rigorous scientific inquiry, this work provides a structured roadmap for transitioning LLM development from engineering heuristics toward a principled scientific discipline.
56	2026	Bootstrap Theory of Representational Emergence: Explanatory Insufficiency as a Driver of Representation Learning and World Models	Jacques Raynal; Pierre Slangen; Elsa Raynal; Jacques Margerit	arxiv	arXiv	http://arxiv.org/abs/2606.07303v1	target_core_llm_or_sequence_model	provisional paper-defined emergence candidate	PROVISIONAL_PAPER_DEFINED_EMERGENCE	ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_D_WORLD_MODEL_CAUSAL_STATE; ROUTE_F_COUNTERCLAIM_CONTROL	PASS	PASS	PARTIAL	PARTIAL	PASS	PASS	PARTIAL	True	False	ACCEPT_HIGH_PRIORITY_FOR_DEEP_REVIEW	PROVISIONALLY SUPPORTED	Metadata points to internal representations/mechanisms plus causal, intervention, circuit, vector, or world-model evidence, so it is a strong emergence candidate pending full-paper verification.	No explicit intelligence-level claim visible from metadata.	Representation learning is central to modern machine learning, enabling transitions from handcrafted features to learned embeddings, latent spaces, foundation models, world models, and digital twins. Yet most research examines how representations are optimized after a representational framework has been selected, while less attention is given to when a new level of representation becomes necessary. We introduce the Bootstrap Theory of Representational Emergence (TBER), a framework describing how new representations arise when existing ones become explanatorily insufficient. In this view, representational innovation is not only driven by more data, larger models, or greater computational power, but also by persistent explanatory gaps: situations in which a representation can still describe observations but can no longer make their organization or transformations intelligible. TBER identifies explanatory insufficiency as a positive signal for representational transition. A representation becomes insufficient not because it is necessarily false, but because its explanatory domain has been exceeded. The bootstrap dynamic follows a recursive sequence: observations reveal anomalies; anomalies expose insufficiencies; insufficiencies motivate new representations; and these new representations generate further observations and possible new insufficiencies.We formalize this process through five stages: stabilized observation, anomaly detection, recognition of explanatory insufficiency, representational emergence, and provisional stabilization. We discuss applications to representation learning, latent spaces, foundation models, world models, digital twins, adaptive biological systems, and scientific discovery. TBER suggests that future AI systems may benefit from mechanisms for detecting the explanatory limits of their own internal representations.
57	2026	Bridging Mechanistic Interpretability and Prompt Engineering with Gradient Ascent for Interpretable Persona Control	Harshvardhan Saini; Yiming Tang; Dianbo Liu	arxiv	arXiv	http://arxiv.org/abs/2601.02896v2	target_core_llm_or_sequence_model	partial paper-defined emergence candidate	PARTIAL_PAPER_DEFINED_EMERGENCE	ROUTE_A_SCALING_CRITICALITY; ROUTE_B_COMPRESSION_COARSE_MODEL; ROUTE_C_NOVEL_BASES_MANIFOLDS; ROUTE_E_GENERALIZATION_ANALOGY_REUSE	PASS	PARTIAL	PARTIAL	PARTIAL	PARTIAL	PARTIAL	UNKNOWN	True	False	ACCEPT_FOR_DEEP_REVIEW	PARTIALLY SUPPORTED	Metadata suggests internal representation, circuit, world-model, ICL, or compression evidence, but functional causal use is not proven from metadata alone.	No explicit intelligence-level claim visible from metadata.	"Controlling emergent behavioral personas (e.g., sycophancy, hallucination) in Large Language Models (LLMs) is critical for AI safety, yet remains a persistent challenge. Existing solutions face a dilemma: manual prompt engineering is intuitive but unscalable and imprecise, while automatic optimization methods are effective but operate as ""black boxes"" with no interpretable connection to model internals. We propose a novel framework that adapts gradient ascent to LLMs, enabling targeted prompt discovery. In specific, we propose two methods, RESGA and SAEGA, that both optimize randomly initialized prompts to achieve better aligned representation with an identified persona direction. We introduce fluent gradient ascent to control the fluency of discovered persona steering prompts. We demonstrate RESGA and SAEGA's effectiveness across Llama 3.1, Qwen 2.5, and Gemma 3 for steering three different personas, sycophancy, hallucination, and myopic reward. Crucially, on sycophancy, our automatically discovered prompts achieve significant improvement (49.90% compared with 79.24%). By grounding prompt discovery in mechanistically meaningful features, our method offers a new paradigm for controllable and interpretable behavior modification."
