corpus	method	work_id	title	year	verdict	tier	claimed_count	supported_count	supported_criteria	macro_cluster	subcluster	macro_silhouette	subcluster_silhouette
included	tfidf	w_c05624cc0be4c2cb	A jamming transition from under- to over-parametrization affects generalization in deep learning	2018	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M03	S06	-0.037178	-0.039906
included	tfidf	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	2025	INCLUDE	TIER_2	0	2	SCALING,COMPRESSION	M04	S11	0.063756	0.191447
included	tfidf	w_3f7299052e18118d	A Neural Network Model of Free Recall Learns Multiple Memory Strategies	2026	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M05	S13	0.013732	-0.034777
included	tfidf	w_07d5eb02f4e65497	A phase transition between positional and semantic learning in a solvable model of dot-product attention	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M02	S03	0.049283	0.146243
included	tfidf	w_ee7cdd8c7d281656	A simple model of co-emergence of grid and place fields	2026	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M05	S12	0.039127	0.045645
included	tfidf	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S13	-0.059809	-0.080087
included	tfidf	w_7642d8c74152ab9f	Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models	2026	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S02	0.04827	0.014705
included	tfidf	w_3d415e237f7c4f65	Autocorrelations from emergent bistability in homeostatic spiking neural networks on neuromorphic hardware	2022	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M06	S14	0.216416	0.166478
included	tfidf	w_3144bdd83cd17ac0	Automated construction of cognitive maps with visual predictive coding	2024	INCLUDE	TIER_2	1	2	COMPRESSION,NOVEL_BASIS	M05	S12	0.042693	0.027646
included	tfidf	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S12	0.01441	0.0482
